values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
0.5,overall_prob,0,0,1,0.1,0,1
1,tshift,1,0,3,0.1,0,10
5,desired_mode,1,0,7,0.1,0,10
21.56194409,viral_peak,0,0,40,0.1,15,25
6.195697774,obs_sd,0,0,25,0.1,1,10
0.636291677,sd_mod,1,0,1,0.1,0.4,0.6
14,sd_mod_wane,1,0,14,0.1,0,14
40,true_0,1,40,100,0.1,40,100
40,intercept,1,35,100,0.1,35,100
3,LOD,1,0,10,0.1,0,10
5,incu,1,0,10,0.1,0,10
13.72235562,t_switch,0,0,30,0.1,10,30
38,level_switch,0,0,40,0.1,33,40
1000,wane_rate2,1,0,10000,0.1,10,50
0.123203205,prob_detect,0,0,1,0.1,0.01,0.1
1,t_unit,1,0,1,0.1,0,1
0,t0,1,0,100,0.1,0,50
1.5,nu,1,0,100,0.1,2,5
0.03,rho,1,0,100,0.1,0.01,0.5
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
-7,prob,0,-100,100,0.1,-1,1
